collected_time,latitude,longitude,altitude
2008-10-07 11:52:47-03,39.134755,117.204981,-167
2008-10-07 11:52:48-03,39.134764,117.204961,-167
2008-10-07 11:52:49-03,39.134773,117.204943,-164
2008-10-07 11:52:50-03,39.134773,117.20492,-161
2008-10-07 11:52:52-03,39.134778,117.20488,-161
2008-10-07 11:52:53-03,39.134783,117.204861,-161
2008-10-07 11:52:54-03,39.1348,117.204846,-161
2008-10-07 11:52:55-03,39.134813,117.204833,-161
2008-10-07 11:52:56-03,39.13483,117.204819,-161
2008-10-07 11:52:57-03,39.134841,117.204801,-157
2008-10-07 11:52:58-03,39.134858,117.204781,-157
2008-10-07 11:52:59-03,39.134871,117.204764,-157
2008-10-07 11:53:00-03,39.134881,117.204749,-154
2008-10-07 11:53:02-03,39.134891,117.204719,-154
2008-10-07 11:53:03-03,39.134891,117.204703,-151
2008-10-07 11:53:04-03,39.13489,117.204696,-151
2008-10-07 11:53:05-03,39.134891,117.204691,-151
2008-10-07 11:53:06-03,39.134891,117.204684,-151
2008-10-07 11:53:07-03,39.134896,117.204671,-148
2008-10-07 11:53:08-03,39.134899,117.204656,-148
2008-10-07 11:53:09-03,39.134903,117.204648,-148
2008-10-07 11:53:10-03,39.134909,117.204629,-144
2008-10-07 11:53:12-03,39.134926,117.204596,-144
2008-10-07 11:53:13-03,39.134931,117.204584,-141
2008-10-07 11:53:14-03,39.134934,117.204571,-141
2008-10-07 11:53:15-03,39.134938,117.204553,-138
2008-10-07 11:53:16-03,39.134941,117.204536,-138
2008-10-07 11:53:17-03,39.134998,117.204426,-121
2008-10-07 11:53:18-03,39.13503,117.204398,-108
2008-10-07 11:53:19-03,39.135049,117.204339,-102
2008-10-07 11:53:20-03,39.135053,117.20433,-95
2008-10-07 11:53:22-03,39.135063,117.204316,-95
2008-10-07 11:53:23-03,39.135064,117.204311,-92
2008-10-07 11:53:24-03,39.135066,117.204309,-92
2008-10-07 11:53:25-03,39.135071,117.204303,-92
2008-10-07 11:53:26-03,39.135075,117.204294,-89
2008-10-07 11:53:27-03,39.135076,117.204285,-89
2008-10-07 11:53:28-03,39.135081,117.204273,-89
2008-10-07 11:53:29-03,39.135084,117.204259,-89
2008-10-07 11:53:30-03,39.135088,117.204248,-89
2008-10-07 11:53:32-03,39.135103,117.204224,-85
2008-10-07 11:53:33-03,39.135113,117.204209,-85
2008-10-07 11:53:34-03,39.135121,117.204195,-85
2008-10-07 11:53:35-03,39.135128,117.204175,-85
2008-10-07 11:53:36-03,39.135135,117.204156,-85
2008-10-07 11:53:37-03,39.135141,117.204136,-82
2008-10-07 11:53:38-03,39.135146,117.204116,-82
2008-10-07 11:53:39-03,39.135153,117.204101,-82
2008-10-07 11:53:40-03,39.13516,117.204086,-82
2008-10-07 11:53:42-03,39.135166,117.204058,-79
2008-10-07 11:53:43-03,39.135168,117.204041,-79
2008-10-07 11:53:44-03,39.135166,117.20403,-79
2008-10-07 11:53:45-03,39.135165,117.204024,-79
2008-10-07 11:53:46-03,39.135165,117.204016,-79
2008-10-07 11:53:47-03,39.135158,117.20401,-79
2008-10-07 11:53:48-03,39.135155,117.204008,-79
2008-10-07 11:53:49-03,39.135156,117.204001,-75
2008-10-07 11:53:50-03,39.135158,117.203994,-75
2008-10-07 11:53:52-03,39.135163,117.203979,-75
2008-10-07 11:53:53-03,39.135166,117.203969,-75
2008-10-07 11:53:54-03,39.135171,117.203956,-75
2008-10-07 11:53:55-03,39.135174,117.203943,-75
2008-10-07 11:53:56-03,39.135176,117.203931,-75
2008-10-07 11:53:57-03,39.135176,117.203915,-75
2008-10-07 11:53:58-03,39.135181,117.203894,-75
2008-10-07 11:53:59-03,39.135186,117.203874,-72
2008-10-07 11:54:00-03,39.135193,117.203855,-72
